NOMBRE,PRIMER APELLIDO,SEGUNDO APELLIDO,FECHA DE NACIMIENTO,CURP,DETALLES DE OCUPACION (CATALOGO PENDIENTE),SEXO,GENERO
JACOBO,PRIMER APELLIDO,SEGUNDO APELLIDO,1985-11-27,CURP000000MVZCURP,ALBAÑIL,HOMBRE,MASCULINO
ADELINA,PRIMER APELLIDO,SEGUNDO APELLIDO,2005-08-04,CURP000000MVZCURP,LABORES DEL HOGAR,MUJER,FEMENINO
AGUSTIN,PRIMER APELLIDO,SEGUNDO APELLIDO,2005-01-30,CURP000000MVZCURP,AYUDANTE DE ALBAÑIL,HOMBRE,MASCULINO
JOSE ARTURO,PRIMER APELLIDO,SEGUNDO APELLIDO,1987-11-26,CURP000000MVZCURP,MECANICO DE MOTOS,HOMBRE,MASCULINO
RAFAEL,PRIMER APELLIDO,SEGUNDO APELLIDO,1993-12-17,CURP000000MVZCURP,CAÑERO,HOMBRE,MASCULINO
ARLEN,PRIMER APELLIDO,SEGUNDO APELLIDO,1978-03-25,CURP000000MVZCURP,COMERCIANTE,MUJER,FEMENINO
PATRICIA,PRIMER APELLIDO,SEGUNDO APELLIDO,1975-09-02,CURP000000MVZCURP,COMERCIANTE,MUJER,FEMENINO
PABLO,PRIMER APELLIDO,SEGUNDO APELLIDO,2010-02-26,CURP000000MVZCURP,ESTUDIANTE,HOMBRE,MASCULINO
AZUCENA,PRIMER APELLIDO,SEGUNDO APELLIDO,1986-06-26,CURP000000MVZCURP,LABORES DEL HOGAR,MUJER,FEMENINO
MAURICIO,PRIMER APELLIDO,SEGUNDO APELLIDO,1987-10-11,CURP000000MVZCURP,COMERCIANTE,HOMBRE,MASCULINO
AZUCENA CITALI,PRIMER APELLIDO,SEGUNDO APELLIDO,2007-09-04,CURP000000MVZCURP,ESTUDIANTE,MUJER,FEMENINO
ALEXIS,PRIMER APELLIDO,SEGUNDO APELLIDO,2000-08-19,CURP000000MVZCURP,CAMPESINO,HOMBRE,MASCULINO
ARTURO,PRIMER APELLIDO,SEGUNDO APELLIDO,1975-05-09,CURP000000MVZCURP,SIN EMPLEO,HOMBRE,MASCULINO
AXEL ALBERTO,PRIMER APELLIDO,SEGUNDO APELLIDO,1991-12-12,CURP000000MVZCURP,APRENDIZ DE CARPINTERIA,HOMBRE,MASCULINO
SUSANA,PRIMER APELLIDO,SEGUNDO APELLIDO,2010-11-04,CURP000000MVZCURP,ESTUDIANTE,MUJER,MASCULINO
RAMON,PRIMER APELLIDO,SEGUNDO APELLIDO,1988-08-31,CURP000000MVZCURP,OPERADOR DE TRACTO CAMION (MADRINA),HOMBRE,MASCULINO
FLOR ABIGAIL,PRIMER APELLIDO,SEGUNDO APELLIDO,1994-07-21,CURP000000MVZCURP,LABORES DEL HOGAR,MUJER,FEMENINO
ANCELMO INOCENCIO,PRIMER APELLIDO,SEGUNDO APELLIDO,1969-06-22,CURP000000MVZCURP,TAXISTA,HOMBRE,MASCULINO
RICARDO,PRIMER APELLIDO,SEGUNDO APELLIDO,1997-11-09,CURP000000MVZCURP,TATUADOR,HOMBRE,MASCULINO
REYNALDO,PRIMER APELLIDO,SEGUNDO APELLIDO,1940-12-16,CURP000000MVZCURP,REPARTIDOR DE LECHE,HOMBRE,MASCULINO
FRANCISCO JAVIER,PRIMER APELLIDO,SEGUNDO APELLIDO,1991-12-03,CURP000000MVZCURP,ALBAÑIL,HOMBRE,MASCULINO
SABINO,PRIMER APELLIDO,SEGUNDO APELLIDO,1991-12-18,CURP000000MVZCURP,DESEMPLEANO,HOMBRE,MASCULINO
GERARDO DE JESUS,PRIMER APELLIDO,SEGUNDO APELLIDO,2005-08-04,CURP000000MVZCURP,NO ESPECIFICA,HOMBRE,MASCULINO
CARLOS JAIR,PRIMER APELLIDO,SEGUNDO APELLIDO,1989-10-10,CURP000000MVZCURP,CONDUCTOR DE VOLTEO,HOMBRE,MASCULINO
YARASED,PRIMER APELLIDO,SEGUNDO APELLIDO,1978-02-26,CURP000000MVZCURP,EMPLEADA,MUJER,FEMENINO
LUIS ANGEL,PRIMER APELLIDO,SEGUNDO APELLIDO,2001-11-07,CURP000000MVZCURP,SIN EMPLEO,HOMBRE,MASCULINO
VICTORIA,PRIMER APELLIDO,SEGUNDO APELLIDO,1991-02-14,CURP000000MVZCURP,MESERA,MUJER,FEMENINO
JONATAN,PRIMER APELLIDO,SEGUNDO APELLIDO,1995-05-26,CURP000000MVZCURP,EMPLEADO DE CEMENTERA,HOMBRE,MASCULINO
LUIS,PRIMER APELLIDO,SEGUNDO APELLIDO,1971-09-28,CURP000000MVZCURP,TRAILERO,HOMBRE,MASCULINO
ISABELLA MALENY,PRIMER APELLIDO,SEGUNDO APELLIDO,2015-02-01,CURP000000MVZCURP,ESTUDIANTE,MUJER,FEMENINO
DANIA,PRIMER APELLIDO,SEGUNDO APELLIDO,2008-06-19,CURP000000MVZCURP,ESTUDIANTE,MUJER,FEMENINO
MIGUEL ANGEL,PRIMER APELLIDO,SEGUNDO APELLIDO,2000-09-05,CURP000000MVZCURP,NO ESPECIFICA,HOMBRE,MASCULINO
MARIA DE LOS ANGELES,PRIMER APELLIDO,SEGUNDO APELLIDO,2007-06-20,CURP000000MVZCURP,LABORES DEL HOGAR,MUJER,FEMENINO
MARIA ANTONIA,PRIMER APELLIDO,SEGUNDO APELLIDO,2005-06-23,CURP000000MVZCURP,LABORES DEL HOGAR,MUJER,FEMENINO
MIRZA STEPHANI,PRIMER APELLIDO,SEGUNDO APELLIDO,1994-09-02,CURP000000MVZCURP,EMPLEADA EN GRANJA DE POLLOS,MUJER,FEMENINO
XIMENA AIME,PRIMER APELLIDO,SEGUNDO APELLIDO,2015-10-24,CURP000000MVZCURP,ESTUDIANTE,MUJER,FEMENINO
OWEN ARTURO,PRIMER APELLIDO,SEGUNDO APELLIDO,2020-08-02,CURP000000MVZCURP,NO APLICA,HOMBRE,MASCULINO
MARIA BERENICE,PRIMER APELLIDO,SEGUNDO APELLIDO,2003-05-08,CURP000000MVZCURP,LABORES DEL HOGAR,MUJER,FEMENINO
ALAN DANIEL,PRIMER APELLIDO,SEGUNDO APELLIDO,2009-10-22,CURP000000MVZCURP,ESTUDIANTE,HOMBRE,MASCULINO
JOSE GUADALUPE,PRIMER APELLIDO,SEGUNDO APELLIDO,1973-04-12,CURP000000MVZCURP,CHOFER DE MAQUINARIA PESADA,HOMBRE,MASCULINO
LESLY YAMILET,PRIMER APELLIDO,SEGUNDO APELLIDO,2006-12-10,CURP000000MVZCURP,EMPLEADA EN UNA TAQUERIA,MUJER,FEMENINO
GLORIA JANETH,PRIMER APELLIDO,SEGUNDO APELLIDO,2008-04-28,CURP000000MVZCURP,NO ESPECIFICA,MUJER,FEMENINO
ADRIANA,PRIMER APELLIDO,SEGUNDO APELLIDO,2005-05-28,CURP000000MVZCURP,NO ESPECIFICA,MUJER,FEMENINO
SELENE,PRIMER APELLIDO,SEGUNDO APELLIDO,1998-02-11,CURP000000MVZCURP,,MUJER,FEMENINO
ISAAC,PRIMER APELLIDO,SEGUNDO APELLIDO,1993-05-22,CURP000000MVZCURP,EMPLEADO DE AUTOLAVADO,HOMBRE,MASCULINO
JESUS EMMANUEL,PRIMER APELLIDO,SEGUNDO APELLIDO,1996-11-04,CURP000000MVZCURP,TAXISTA,HOMBRE,MASCULINO
MARIA IMELDA,PRIMER APELLIDO,SEGUNDO APELLIDO,1953-01-09,CURP000000MVZCURP,LABORES DEL HOGAR / JUBILADA,MUJER,FEMENINO
JOSE DAVID,PRIMER APELLIDO,SEGUNDO APELLIDO,2002-08-11,CURP000000MVZCURP,EMPLEADO OXXO,HOMBRE,MASCULINO
EDWIN,PRIMER APELLIDO,SEGUNDO APELLIDO,2004-08-28,CURP000000MVZCURP,CHOFER DE PIPA DE AGUA,HOMBRE,MASCULINO
HECTOR ALEJANDRO,PRIMER APELLIDO,SEGUNDO APELLIDO,2003-06-15,CURP000000MVZCURP,PERFORADOR DE POZOS,HOMBRE,MASCULINO
ARELI,PRIMER APELLIDO,SEGUNDO APELLIDO,1978-04-03,CURP000000MVZCURP,MECANICO,HOMBRE,MASCULINO
MIRIAM IRANIS,PRIMER APELLIDO,SEGUNDO APELLIDO,2002-08-30,CURP000000MVZCURP,POLICIA FUERZA CIVIL,MUJER,FEMENINO
ALVARO,PRIMER APELLIDO,SEGUNDO APELLIDO,1965-02-25,CURP000000MVZCURP,OBRERO,HOMBRE,MASCULINO
MARCOS,PRIMER APELLIDO,SEGUNDO APELLIDO,1984-08-13,CURP000000MVZCURP,EMPLEADO,HOMBRE,MASCULINO
MARCO ANTONIO,PRIMER APELLIDO,SEGUNDO APELLIDO,1984-07-21,CURP000000MVZCURP,NO ESPECIFICA,HOMBRE,MASCULINO
ALEJANDRO,PRIMER APELLIDO,SEGUNDO APELLIDO,1999-03-22,CURP000000MVZCURP,CAMPESINO,HOMBRE,MASCULINO
GLORIMAR,PRIMER APELLIDO,SEGUNDO APELLIDO,1994-10-18,CURP000000MVZCURP,EMFERMERA,MUJER,FEMENINO
CRESCENCIO,PRIMER APELLIDO,SEGUNDO APELLIDO,1980-06-15,CURP000000MVZCURP,CAMPESINO,HOMBRE,MASCULINO
GUADALUPE,PRIMER APELLIDO,SEGUNDO APELLIDO,2000-12-12,CURP000000MVZCURP,AYUDANTE DE ALBAÑIL,HOMBRE ,MASCULINO
LUZ GABRIELA,PRIMER APELLIDO,SEGUNDO APELLIDO,2008-05-27,CURP000000MVZCURP,NO ESPECIFICA,MUJER,FEMENINO
ERICK,PRIMER APELLIDO,SEGUNDO APELLIDO,2005-08-04,CURP000000MVZCURP,NO ESPECIFICA,HOMBRE,MASCULINO
BAJA,PRIMER APELLIDO,SEGUNDO APELLIDO,2005-08-04,CURP000000MVZCURP,BAJA,BAJA,BAJA
XIMENA,PRIMER APELLIDO,SEGUNDO APELLIDO,2006-04-03,CURP000000MVZCURP,,MUJER,FEMENINO
GERARDO EDUARDO,PRIMER APELLIDO,SEGUNDO APELLIDO,2004-10-02,CURP000000MVZCURP,,HOMBRE,MASCULINO
ALBERTO,PRIMER APELLIDO,SEGUNDO APELLIDO,2005-08-04,CURP000000MVZCURP,,HOMBRE,MASCULINO
ERICK,PRIMER APELLIDO,SEGUNDO APELLIDO,1995-12-01,CURP000000MVZCURP,,HOMBRE,MASCULINO
MARIA INES,PRIMER APELLIDO,SEGUNDO APELLIDO,2008-01-04,CURP000000MVZCURP,NO ESPECIFICA,MUJER,FEMENINO
LUIS ALBERTO,PRIMER APELLIDO,SEGUNDO APELLIDO,1995-03-23,CURP000000MVZCURP,NO ESPECIFICA,HOMBRE,MASCULINO
